age,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,marital1,education1,default1,housing1,loan1,contact1,month1,day_of_week1,poutcome1,y1,job1
51,1,3,7,-1.1,94.767,-50.8,1.049,4963.6,3,2,1,2,1,2,6,2,3,1,3
47,2,999,6,-1.7,94.027,-38.3,0.904,4991.6,1,7,1,2,1,2,4,1,2,1,10
31,2,3,6,-1.1,94.767,-50.8,1.048,4963.6,2,7,1,1,2,2,6,3,3,1,3
50,2,3,5,-1.8,93.876,-40,0.682,5008.7,1,2,1,1,1,2,1,3,3,1,3
27,1,0,5,-1.7,94.027,-38.3,0.9,4991.6,2,7,1,2,1,1,4,3,3,1,12
27,3,999,5,-1.7,94.027,-38.3,0.904,4991.6,2,7,1,2,1,2,4,4,2,1,5
29,7,3,5,-1.1,94.199,-37.5,0.879,4963.6,2,5,1,2,1,2,10,1,3,1,5
30,1,999,5,-1.1,94.199,-37.5,0.877,4963.6,2,5,1,1,1,2,10,2,2,1,5
82,3,3,4,-1.1,94.199,-37.5,0.879,4963.6,1,7,2,1,1,2,10,1,3,1,6
55,2,3,4,-2.9,92.963,-40.8,1.262,5076.2,1,1,1,1,1,2,2,2,2,1,6
24,1,6,4,-2.9,92.201,-31.4,0.849,5076.2,2,2,1,2,1,2,4,5,2,1,12
26,1,7,4,-1.8,93.369,-34.8,0.636,5008.7,2,7,1,1,1,2,8,5,2,1,3
36,2,999,4,-1.8,93.369,-34.8,0.635,5008.7,2,7,1,2,1,2,8,1,2,1,3
46,5,999,4,-1.8,93.749,-34.6,0.645,5008.7,1,2,1,2,1,2,9,1,2,1,3
51,2,999,4,-1.8,93.876,-40,0.697,5008.7,1,7,1,2,1,2,1,1,2,1,10
47,1,999,4,-1.7,94.055,-39.8,0.702,4991.6,2,7,1,2,1,2,2,2,2,1,3
27,2,3,4,-1.7,94.055,-39.8,0.72,4991.6,2,7,1,1,2,2,2,1,3,1,12
36,1,4,4,-1.7,94.055,-39.8,0.748,4991.6,1,7,1,2,2,2,2,5,3,1,3
35,2,3,4,-1.7,94.215,-40.3,0.889,4991.6,1,7,1,1,1,2,3,1,3,1,3
25,2,10,4,-1.7,94.027,-38.3,0.898,4991.6,2,2,1,1,1,2,4,1,2,1,12
46,2,9,4,-1.7,94.027,-38.3,0.904,4991.6,2,2,1,1,1,2,4,4,2,1,3
60,4,6,4,-1.7,94.027,-38.3,0.905,4991.6,1,1,1,1,1,2,4,5,2,1,1
56,1,12,4,-1.7,94.027,-38.3,0.904,4991.6,3,1,1,2,1,1,4,1,2,1,4
30,1,0,4,-1.7,94.027,-38.3,0.89,4991.6,1,5,1,1,1,1,4,3,3,1,5
24,1,17,4,-1.1,94.199,-37.5,0.886,4963.6,2,6,1,2,1,2,10,3,2,1,12
34,1,6,4,-1.1,94.199,-37.5,0.883,4963.6,1,5,1,3,3,2,10,5,3,1,5
26,1,6,4,-1.1,94.199,-37.5,0.878,4963.6,2,7,1,2,1,2,10,4,3,1,8
23,2,999,4,-1.1,94.199,-37.5,0.879,4963.6,2,7,1,2,1,2,10,5,2,1,12
32,2,14,4,-1.1,94.601,-49.5,0.959,4963.6,1,5,1,1,1,2,5,3,2,1,5
27,1,20,4,-1.1,94.601,-49.5,0.972,4963.6,2,6,1,2,1,2,5,5,2,1,12
25,1,6,4,-1.1,94.601,-49.5,1.032,4963.6,2,2,1,2,1,2,5,1,3,1,12
51,2,3,4,-1.1,94.767,-50.8,1.05,4963.6,1,2,1,1,2,2,6,1,3,1,2
34,1,1,4,-1.1,94.767,-50.8,1.046,4963.6,1,6,1,2,1,2,6,2,3,1,5
54,2,10,4,-1.1,94.767,-50.8,1.041,4963.6,1,5,1,2,1,1,6,4,2,1,7
40,2,999,4,-1.1,94.767,-50.8,1.03,4963.6,3,7,1,2,1,2,6,3,2,1,10
48,2,5,3,-1.8,93.075,-47.1,1.435,5099.1,1,1,2,2,1,2,9,4,2,1,4
70,1,14,3,-1.1,94.601,-49.5,0.965,4963.6,1,1,2,1,1,2,5,4,2,1,6
26,1,1,3,-1.8,93.075,-47.1,1.483,5099.1,2,2,1,1,1,2,9,4,3,1,2
80,6,999,3,-1.8,93.075,-47.1,1.4,5099.1,1,2,1,1,1,2,9,5,2,1,4
83,1,3,3,-1.8,92.893,-46.2,1.259,5099.1,1,4,1,2,2,2,1,5,2,1,6
23,1,999,3,-2.9,92.201,-31.4,0.881,5076.2,2,2,1,2,1,2,4,5,2,1,12
29,1,4,3,-2.9,92.201,-31.4,0.881,5076.2,2,2,1,1,1,2,4,5,3,1,3
35,4,2,3,-2.9,92.201,-31.4,0.884,5076.2,2,2,1,2,2,2,4,1,3,1,3
27,1,4,3,-2.9,92.201,-31.4,0.879,5076.2,2,2,1,1,1,2,4,3,3,1,7
48,1,4,3,-2.9,92.201,-31.4,0.873,5076.2,1,7,1,1,1,2,4,4,3,1,8
51,6,6,3,-3.4,92.431,-26.9,0.754,5017.5,1,5,1,2,1,2,5,4,2,1,5
73,2,999,3,-3.4,92.431,-26.9,0.731,5017.5,3,1,1,2,1,2,5,1,2,1,6
32,1,999,3,-3.4,92.431,-26.9,0.728,5017.5,2,7,1,1,1,2,5,2,2,1,3
28,2,999,3,-3.4,92.431,-26.9,0.728,5017.5,2,2,1,2,1,2,5,2,2,1,3
52,1,999,3,-3.4,92.649,-30.1,0.72,5017.5,3,7,1,2,1,2,6,2,2,1,3
62,1,3,3,-3.4,92.649,-30.1,0.714,5017.5,1,7,1,2,1,2,6,4,3,1,1
31,4,999,3,-3.4,92.649,-30.1,0.714,5017.5,2,2,1,1,1,2,6,5,2,1,3
35,1,7,3,-3.4,92.649,-30.1,0.714,5017.5,1,7,1,1,1,1,6,1,2,1,10
35,3,7,3,-3.4,92.649,-30.1,0.716,5017.5,1,7,1,1,1,2,6,2,2,1,10
34,2,6,3,-3.4,92.649,-30.1,0.716,5017.5,3,2,1,1,1,2,6,2,3,1,3
24,1,9,3,-3.4,92.649,-30.1,0.716,5017.5,2,7,1,2,1,2,6,3,2,1,3
19,2,999,3,-3,92.713,-33,0.712,5023.5,2,2,1,2,1,2,7,4,2,1,12
28,3,6,3,-3,92.713,-33,0.709,5023.5,2,2,1,2,1,2,7,1,3,1,7
35,1,4,3,-3,92.713,-33,0.707,5023.5,1,4,1,2,1,2,7,4,3,1,4
38,3,17,3,-1.8,93.369,-34.8,0.653,5008.7,2,2,1,1,1,2,8,5,2,1,5
33,2,999,3,-1.8,93.369,-34.8,0.649,5008.7,1,7,1,1,1,2,8,5,2,1,3
19,1,999,3,-1.8,93.876,-40,0.668,5008.7,2,4,1,2,1,2,1,2,2,1,12
47,2,3,3,-1.8,93.876,-40,0.682,5008.7,1,7,1,2,1,1,1,3,3,1,10
33,2,15,3,-1.8,93.876,-40,0.685,5008.7,1,7,1,1,1,2,1,1,2,1,3
45,1,999,3,-1.8,93.876,-40,0.692,5008.7,1,4,1,2,1,2,1,4,2,1,10
34,4,999,3,-1.8,93.876,-40,0.692,5008.7,1,2,1,2,1,2,1,4,2,1,3
31,1,999,3,-1.8,93.876,-40,0.695,5008.7,2,4,1,3,3,2,1,5,2,1,2
33,2,999,3,-1.8,93.876,-40,0.699,5008.7,1,7,1,2,1,2,1,5,2,1,3
74,4,999,3,-1.8,93.876,-40,0.699,5008.7,1,5,1,1,1,2,1,5,2,1,6
29,1,13,3,-1.8,93.876,-40,0.701,5008.7,2,2,1,1,1,2,1,1,2,1,5
38,2,5,3,-1.7,94.055,-39.8,0.707,4991.6,1,3,1,1,1,2,2,5,3,1,4
